"","ols","logistic","lda","qda","knn","c4.5","randomforest","gbm","pcr","naivebayes"
"1",0.87741935483871,0.904838709677419,0.87741935483871,0.89758064516129,0.807258064516129,0.818548387096774,0.875806451612903,0.833870967741935,0.862903225806452,0.868548387096774
"2",0.671182266009852,0.693349753694581,0.671182266009852,0.592364532019704,0.70012315270936,0.522783251231527,0.706896551724138,0.687192118226601,0.641625615763547,0.642857142857143
"3",0.866319444444444,0.866319444444444,0.866319444444444,0.770833333333333,0.876736111111111,0.651041666666667,0.857638888888889,0.904513888888889,0.847222222222222,0.829861111111111
"4",0.668055555555556,0.676388888888889,0.668055555555556,0.676388888888889,0.659027777777778,0.704166666666667,0.820833333333333,0.748611111111111,0.697222222222222,0.601388888888889
"5",0.796791443850267,0.773262032085561,0.796791443850267,0.809625668449198,0.740641711229947,0.782352941176471,0.826737967914438,0.797860962566845,0.826737967914438,0.787165775401069
"6",0.747800586510264,0.728739002932551,0.747800586510264,0.686950146627566,0.627565982404692,0.549120234604106,0.730205278592375,0.683284457478006,0.766862170087977,0.733870967741935
"7",0.663139329805996,0.694885361552028,0.663139329805996,0.632275132275132,0.872134038800706,0.832451499118166,0.846560846560847,0.814814814814815,0.758377425044092,0.749559082892416
"8",0.855379188712522,0.857142857142857,0.855379188712522,0.827160493827161,0.707231040564374,0.805114638447972,0.830687830687831,0.747795414462081,0.841269841269841,0.783950617283951
"9",0.698412698412698,0.668430335097002,0.698412698412698,0.64021164021164,0.704585537918871,0.671075837742504,0.751322751322751,0.7336860670194,0.673721340388007,0.626102292768959
"10",0.920634920634921,0.895238095238095,0.920634920634921,0.849206349206349,0.91984126984127,0.780952380952381,0.957142857142857,0.93015873015873,0.952380952380952,0.882539682539683
"11",0.717813051146384,0.767195767195767,0.717813051146384,0.829805996472663,0.591710758377425,0.739858906525573,0.844797178130511,0.740740740740741,0.694885361552028,0.795414462081129
"12",0.748275862068966,0.759770114942529,0.748275862068966,0.745977011494253,0.683333333333333,0.545977011494253,0.770689655172414,0.786206896551724,0.724137931034483,0.689080459770115
"13",0.770491803278688,0.786885245901639,0.770491803278688,0.733233979135618,0.754098360655738,0.770491803278689,0.794336810730253,0.780923994038748,0.771982116244411,0.676602086438152
"14",0.846491228070175,0.809210526315789,0.846491228070175,0.726973684210526,0.816337719298246,0.743421052631579,0.882675438596491,0.773026315789474,0.834429824561403,0.783991228070175
"15",0.853846153846154,0.855128205128205,0.853846153846154,0.83974358974359,0.869871794871795,0.778205128205128,0.901282051282051,0.825641025641026,0.878205128205128,0.853846153846154
"16",0.703125,0.705078125,0.703125,0.6591796875,0.73828125,0.6162109375,0.78515625,0.828125,0.705078125,0.69140625
"17",0.731922398589065,0.716049382716049,0.731922398589065,0.564373897707231,0.685185185185185,0.693121693121693,0.804232804232804,0.767195767195767,0.756613756613757,0.641093474426808
"18",0.770149253731343,0.811940298507463,0.770149253731343,0.788059701492537,0.898507462686567,0.462686567164179,0.758208955223881,0.629850746268657,0.814925373134328,0.740298507462687
"19",0.838669950738916,0.828817733990148,0.838669950738916,0.799261083743842,0.716133004926108,0.62807881773399,0.828817733990148,0.849753694581281,0.847290640394089,0.791256157635468
"20",0.741935483870968,0.72258064516129,0.741935483870968,0.82258064516129,0.754838709677419,0.766935483870968,0.859677419354839,0.761290322580645,0.785483870967742,0.798387096774194
"21",0.888888888888889,0.866666666666667,0.888888888888889,0.758333333333333,0.781944444444445,0.743055555555556,0.884722222222222,0.875,0.851388888888889,0.765972222222222
"22",0.783870967741936,0.762903225806452,0.783870967741936,0.799193548387097,0.629032258064516,0.751612903225807,0.804838709677419,0.859677419354839,0.762903225806452,0.737096774193548
